Time,553,549,561,EB0,E95,EA2,E94,E8D,hour,date,day,zthour
2025-01-15 15:00:00,0.625,3.68,3.81,0.975,0.275,0.0655,14.5,12.5,15,2025-01-15,10,23
2025-01-15 16:00:00,16.9,11.8,8.87,33.5,39.2,22.3,14.5,23.2,16,2025-01-15,11,0
2025-01-15 17:00:00,3.54,4.0,0.944,2.73,2.54,16.2,2.81,5.59,17,2025-01-15,11,1
2025-01-15 18:00:00,8.81,17.5,11.5,24.5,22.3,12.3,20.1,27.4,18,2025-01-15,11,2
2025-01-15 19:00:00,13.0,10.7,4.0,52.7,24.8,34.2,41.4,34.8,19,2025-01-15,11,3
2025-01-15 20:00:00,6.52,1.45,3.24,52.8,30.5,33.5,24.4,12.9,20,2025-01-15,11,4
2025-01-15 21:00:00,5.39,19.8,14.3,51.5,21.1,14.0,42.9,38.7,21,2025-01-15,11,5
2025-01-15 22:00:00,26.9,24.2,7.59,12.0,25.2,2.13,33.1,4.6,22,2025-01-15,11,6
2025-01-15 23:00:00,23.2,17.7,23.9,14.1,23.7,6.91,6.24,46.4,23,2025-01-15,11,7
2025-01-16 00:00:00,4.62,10.8,26.2,53.9,29.4,10.4,35.2,44.4,0,2025-01-16,11,8
2025-01-16 01:00:00,11.1,8.36,3.06,42.6,28.9,0.0369,32.5,9.8,1,2025-01-16,11,9
2025-01-16 02:00:00,20.7,10.7,3.69,0.331,25.2,15.4,0.0655,4.1,2,2025-01-16,11,10
2025-01-16 03:00:00,12.5,8.08,28.5,1.33,23.5,7.03,1.32,31.8,3,2025-01-16,11,11
2025-01-16 04:00:00,13.8,26.3,4.76,43.0,14.0,31.8,9.88,42.8,4,2025-01-16,11,12
2025-01-16 05:00:00,32.5,35.4,23.6,55.7,38.0,55.3,48.9,54.4,5,2025-01-16,11,13
2025-01-16 06:00:00,1.0,9.58,13.5,48.4,7.37,35.3,37.2,50.6,6,2025-01-16,11,14
2025-01-16 07:00:00,3.45,0.0244,1.13,4.64,4.22,2.06,11.8,19.9,7,2025-01-16,11,15
2025-01-16 08:00:00,4.27,0.256,0.0244,1.71,0.55,0.101,0.744,0.782,8,2025-01-16,11,16
2025-01-16 09:00:00,0.192,2.55,0.0244,19.2,1.97,0.0244,0.0244,0.817,9,2025-01-16,11,17
2025-01-16 10:00:00,0.178,10.6,4.42,0.486,1.04,0.754,16.8,1.72,10,2025-01-16,11,18
2025-01-16 11:00:00,0.0859,0.641,0.0244,6.76,3.72,2.13,1.32,0.556,11,2025-01-16,11,19
2025-01-16 12:00:00,0.0244,0.488,0.0244,0.0341,0.858,0.0244,0.759,2.4,12,2025-01-16,11,20
2025-01-16 13:00:00,3.97,5.02,4.23,0.0714,10.1,2.83,0.0244,0.209,13,2025-01-16,11,21
2025-01-16 14:00:00,4.85,0.0244,0.0244,19.7,1.27,24.3,12.9,18.8,14,2025-01-16,11,22
2025-01-16 15:00:00,1.05,0.994,1.3,0.109,6.62,0.0244,1.37,4.87,15,2025-01-16,11,23
2025-01-16 16:00:00,0.101,1.76,1.88,7.54,0.082,3.26,0.0244,0.434,16,2025-01-16,12,0
